,n_iter,loss,acc,dataset
0,27,6.505345344543457,0.0,train
1,41,6.801587672460647,0.0026666666666666666,val
2,53,6.593501567840576,0.0,train
3,80,6.488668918609619,0.0,train
4,82,6.732484442847116,0.0038095238095238095,val
5,106,6.351739406585693,0.0,train
6,123,6.666822796776181,0.005714285714285714,val
7,133,6.237644195556641,0.0,train
8,159,6.343970775604248,0.0,train
9,164,6.255186342057728,0.008761904761904762,val
10,186,6.276595115661621,0.0,train
11,205,6.199756554194859,0.004190476190476191,val
12,212,6.143238544464111,0.0,train
13,238,6.101954460144043,0.015625,train
14,246,6.097071068627494,0.005714285714285714,val
15,265,6.09713888168335,0.0,train
16,287,6.018108538218907,0.008,val
17,291,6.062535285949707,0.0,train
18,318,6.072865962982178,0.0,train
19,328,6.018367233730498,0.007238095238095238,val
20,344,5.88287353515625,0.015625,train
21,369,5.915960243770054,0.011428571428571429,val
22,371,6.022611618041992,0.0,train
23,397,5.830216407775879,0.015625,train
24,410,5.874217396690732,0.01219047619047619,val
25,424,5.867510795593262,0.03125,train
26,450,5.8437933921813965,0.015625,train
27,451,5.792327472141811,0.017523809523809525,val
28,476,5.897365570068359,0.015625,train
29,492,5.733014912832351,0.017523809523809525,val
30,503,5.83861780166626,0.015625,train
31,529,5.890468597412109,0.0,train
32,533,5.674505040759132,0.016761904761904763,val
33,556,5.670156955718994,0.046875,train
34,574,5.653440747942243,0.02095238095238095,val
35,582,5.726441860198975,0.015625,train
36,609,5.761960983276367,0.015625,train
37,615,5.561314287639799,0.02095238095238095,val
38,635,5.498717308044434,0.0625,train
39,656,5.481000752676101,0.02857142857142857,val
40,661,5.5252838134765625,0.015625,train
41,688,5.346080303192139,0.015625,train
42,697,5.463334900992257,0.027047619047619046,val
43,714,5.4764018058776855,0.03125,train
44,738,5.423087494713919,0.02666666666666667,val
45,741,5.445657730102539,0.015625,train
46,767,5.4467315673828125,0.015625,train
47,779,5.400155033384051,0.029333333333333333,val
48,794,5.6586198806762695,0.0,train
49,820,4.980456352233887,0.046875,train
50,820,5.285402241207304,0.03238095238095238,val
51,847,5.34827995300293,0.0625,train
52,861,5.290190753482637,0.03123809523809524,val
53,873,5.115618705749512,0.015625,train
54,899,5.217782497406006,0.03125,train
55,902,5.1951695169721335,0.04419047619047619,val
56,926,5.118749141693115,0.03125,train
57,943,5.142255828494117,0.038857142857142854,val
58,952,5.176854133605957,0.078125,train
59,979,5.167597770690918,0.03125,train
60,984,5.124186992645264,0.03504761904761905,val
61,1005,5.197323322296143,0.03125,train
62,1025,5.200102522259667,0.038857142857142854,val
63,1032,5.1956610679626465,0.0625,train
64,1058,5.253887176513672,0.03125,train
65,1066,5.119378441856021,0.04114285714285714,val
66,1085,4.989752769470215,0.03125,train
67,1107,4.969843393280392,0.05828571428571429,val
68,1111,5.092686176300049,0.03125,train
69,1137,5.110692501068115,0.0,train
70,1148,4.931611980710711,0.053714285714285714,val
71,1164,5.089415550231934,0.03125,train
72,1189,4.915329796927316,0.05561904761904762,val
73,1190,4.90883731842041,0.0625,train
74,1217,4.685778617858887,0.046875,train
75,1230,4.867587316603887,0.05942857142857143,val
76,1243,4.825198650360107,0.03125,train
77,1270,4.953658580780029,0.046875,train
78,1271,4.938486377398173,0.053714285714285714,val
79,1296,5.098833084106445,0.0625,train
80,1312,4.755235388165429,0.07123809523809524,val
81,1322,4.567643642425537,0.140625,train
0,1349,5.010400772094727,0.09375,train
1,1353,4.7636952456973845,0.06895238095238095,val
2,1375,4.916420936584473,0.078125,train
3,1394,4.624484135991051,0.08076190476190476,val
4,1402,4.703215599060059,0.078125,train
5,1428,4.714938640594482,0.109375,train
6,1435,4.640632413682484,0.07961904761904762,val
7,1455,4.2732086181640625,0.109375,train
8,1476,4.591815233230591,0.09942857142857142,val
9,1481,4.607455253601074,0.03125,train
10,1508,4.560793876647949,0.078125,train
11,1517,4.519853688421703,0.09333333333333334,val
12,1534,4.643203258514404,0.09375,train
13,1558,4.622747835658846,0.07085714285714285,val
14,1560,4.499198913574219,0.125,train
15,1587,4.374663352966309,0.15625,train
16,1599,4.466298642612639,0.10742857142857143,val
17,1613,4.460423469543457,0.140625,train
18,1640,4.567508697509766,0.078125,train
19,1640,4.484141917455764,0.09866666666666667,val
20,1666,4.604780673980713,0.0625,train
21,1681,4.3964254685810635,0.11657142857142858,val
22,1693,4.240566730499268,0.203125,train
23,1719,4.583891868591309,0.109375,train
24,1722,4.3366745710372925,0.10819047619047618,val
25,1746,4.0633463859558105,0.15625,train
26,1763,4.344198976244245,0.11238095238095239,val
27,1772,4.035392761230469,0.171875,train
28,1798,4.390087127685547,0.046875,train
29,1804,4.419752211797805,0.10666666666666667,val
30,1825,4.533346652984619,0.09375,train
31,1845,4.210125451996213,0.12685714285714286,val
32,1851,4.603508949279785,0.0625,train
33,1878,4.466716289520264,0.09375,train
34,1886,4.3180545171101885,0.12685714285714286,val
35,1904,3.97518253326416,0.09375,train
36,1927,4.277087285405114,0.11961904761904762,val
37,1931,4.63215970993042,0.09375,train
38,1957,4.110243320465088,0.15625,train
39,1968,4.247791074571156,0.12114285714285715,val
40,1983,4.544120788574219,0.09375,train
41,2009,4.140694873673575,0.14514285714285713,val
42,2010,4.646451473236084,0.125,train
43,2036,4.775077819824219,0.0625,train
44,2050,4.067747252328055,0.14476190476190476,val
45,2063,4.047050476074219,0.140625,train
46,2089,4.580674648284912,0.09375,train
47,2091,4.062059544381642,0.14666666666666667,val
