,n_iter,loss,acc,dataset
0,27,7.979520796970383,5.55247037584139e-17,train
1,41,12.258419899713425,0.0034285714285714284,val
2,53,7.627266392820844,9.4587804257108e-10,train
3,80,7.06075417785456,2.2742918680622155e-13,train
4,82,6.864054134913853,0.001142857142857143,val
5,106,6.680869417888866,9.313225746154785e-10,train
6,123,6.54946061543056,0.006095238095238095,val
7,133,6.612354843632313,3.815628588200483e-06,train
8,159,6.50768432465107,0.00024414062500000087,train
9,164,6.418637230282738,0.0034285714285714284,val
10,186,6.395284039489758,0.0002441406252309264,train
11,205,6.330046869459606,0.0034285714285714284,val
12,212,6.334650886871458,5.551115123125802e-17,train
13,238,6.276737312646863,0.015625000931322575,train
14,246,6.238131182534354,0.004571428571428572,val
15,265,6.475488488693901,5.551115123125783e-17,train
16,287,6.19601617540632,0.005333333333333333,val
17,291,6.314271737154669,0.0156288743166898,train
18,318,6.231286589529388,0.03149795533682109,train
19,328,6.173788399923415,0.008,val
20,344,6.2172009407562445,0.016117095947503657,train
21,369,6.124905347824097,0.008380952380952381,val
22,371,6.255194586255887,0.015869140625003553,train
23,397,6.2474379288007045,0.015880584716800428,train
24,410,6.1011257739294145,0.008,val
25,424,6.1268231493538226,0.01587295626837104,train
26,450,6.278840797947807,0.0002441406252309819,train
27,451,6.0381867204393656,0.008380952380952381,val
28,476,6.233034929546434,0.0002441406252273737,train
29,492,6.01571383930388,0.011428571428571429,val
30,503,6.055661553103838,0.015625060535970903,train
31,529,6.06829280164389,0.0004882812500035527,train
32,533,5.959954386665707,0.011047619047619047,val
33,556,6.04295718763488,0.015625120155167704,train
34,574,5.931492442176456,0.010666666666666666,val
35,582,6.081822341343405,0.00024414063955197074,train
36,609,5.941788454752842,1.862872522919956e-09,train
37,615,5.900888022922334,0.012571428571428572,val
38,635,5.917347050344101,0.03125768899963083,train
39,656,5.844084024429321,0.016761904761904763,val
40,661,6.049863364454753,0.015625001862645208,train
41,688,5.904090396703652,0.00024795533704846835,train
42,697,5.787127426692417,0.019428571428571427,val
43,714,5.97260346364302,0.0002518901892543668,train
44,738,5.740232444944835,0.017904761904761906,val
45,741,5.998368663854628,0.00024807546288136036,train
46,767,5.814528191504974,0.046882689013731604,train
47,779,5.679634775434222,0.021333333333333333,val
48,794,5.597137529575093,0.03149414158542657,train
49,820,5.69532496334131,0.016357542059267982,train
50,820,5.646365960439046,0.022857142857142857,val
51,847,5.949692694435719,0.03125393488176814,train
52,861,5.553889410836356,0.02361904761904762,val
53,873,5.860278322750573,3.9348528950711306e-06,train
54,899,5.750564889502948,0.0004921555960281099,train
55,902,5.501676173437209,0.024,val
56,926,5.545885825509948,0.03198248428817163,train
57,943,5.487237010683332,0.02819047619047619,val
58,952,5.110493797866729,0.0630036592483556,train
59,979,5.524740841615597,0.0007364163323054784,train
60,984,5.413606904801869,0.030857142857142857,val
61,1005,5.4963962503147465,0.0161171565125714,train
62,1025,5.366252921876454,0.027428571428571427,val
63,1032,5.573363302621853,0.047371030814705506,train
64,1058,5.341950572221876,0.016365051299093384,train
65,1066,5.320957286017282,0.03619047619047619,val
66,1085,5.671764769574601,0.015640264406343588,train
67,1107,5.310219049453735,0.04,val
68,1111,5.4254753590225615,0.04761129897134003,train
69,1137,5.384600092117813,0.032230437748016094,train
70,1148,5.252919832865397,0.03580952380952381,val
71,1164,5.5773836947474384,0.03223056071216496,train
72,1189,5.2337645916711715,0.04076190476190476,val
73,1190,5.278622690115352,0.031505703926999584,train
74,1217,5.522362226661506,0.06299978497555264,train
75,1230,5.185956194287255,0.046476190476190476,val
76,1243,5.664962214830739,0.01685345268994015,train
77,1270,5.277442321634066,0.07886517145402666,train
78,1271,5.2269644510178335,0.04038095238095238,val
79,1296,5.314845325255725,0.06300383998382864,train
80,1312,5.076409078779674,0.052571428571428575,val
81,1322,5.213801691781797,0.016369104386317453,train
0,1349,5.07580979092568,0.06274813418099623,train
1,1353,5.037052097774687,0.05333333333333334,val
2,1375,5.2905914876753615,0.01612878129574136,train
3,1394,5.081913527988252,0.04914285714285714,val
4,1402,5.248806193102724,0.047367399617559924,train
5,1428,4.736859308444365,0.12598824690237392,train
6,1435,4.999729905809675,0.05676190476190476,val
7,1455,4.941021398759227,0.06251168534891272,train
8,1476,4.923949741181874,0.06476190476190476,val
9,1481,4.8886608152123365,0.07960534474160508,train
10,1508,4.8108499478549955,0.11061120407339714,train
11,1517,4.867591483252389,0.05980952380952381,val
12,1534,5.164758859358462,0.06277102422702213,train
13,1558,4.869139977863857,0.06552380952380953,val
14,1560,4.892309253924136,0.11059600400177805,train
15,1587,4.926358075265653,0.03199404764816217,train
