,n_iter,loss,acc,dataset
0,9,4.015989635097969,0.08741050243067877,train
1,18,3.0374088830717576,0.12616687303332363,train
2,26,2.931490607299451,0.1176844205788542,train
3,35,2.4749992842552877,0.12573485856571076,train
4,39,2.4909982204437258,0.1126,val
5,43,2.3681773227696965,0.11017708550529032,train
6,52,2.2858670252994817,0.10211853331112603,train
7,61,2.3057953672616285,0.08655505662593498,train
8,69,2.325684775747707,0.11786655383573237,train
9,78,2.346715691487726,0.1107273555881269,train
10,78,2.296286201477051,0.1314,val
11,86,2.266522315188094,0.2119231938891348,train
12,95,2.2923238063696174,0.13398366832168876,train
13,103,2.2503200257978753,0.1264120120947949,train
14,112,2.3060643048175042,0.15741784169634557,train
15,117,2.2210115432739257,0.1694,val
16,121,2.211266789001661,0.16516883721217498,train
17,129,2.2439521768841497,0.1574168807465494,train
18,138,2.202432214428847,0.21241247002676497,train
19,146,2.2752642674462966,0.21216781859907244,train
20,155,2.213884028781477,0.1806174338894827,train
21,156,2.2404411315917967,0.1516,val
22,164,2.141469445824218,0.20441826893356776,train
23,172,2.13096900773583,0.18873319085611084,train
24,181,2.0952851781384916,0.1892791848281895,train
25,189,2.0491941740409008,0.18952854071477393,train
26,195,2.117793321609497,0.1984,val
27,198,2.0667577970824844,0.2283488371527265,train
28,206,2.0767111784655445,0.22065651510507736,train
29,215,2.0517700145177353,0.23615943716804685,train
30,224,2.084279504423042,0.24427709071397227,train
31,232,1.949513504699131,0.23622334839370804,train
32,234,2.038157749176025,0.2212,val
33,241,2.0073831872846073,0.2834621490688343,train
34,249,1.9447562719531912,0.2597223680705239,train
35,258,1.9275988430748392,0.3222795697295759,train
36,266,2.048144608521316,0.3069049207636502,train
37,273,1.9905068635940553,0.2668,val
38,275,2.016355651319618,0.2281671511673893,train
39,284,1.9704510791475487,0.2522712807484032,train
40,292,2.11027982570381,0.22920715905781514,train
41,301,2.04856497967845,0.26026979919133514,train
42,309,2.0010036923695433,0.24385703449008794,train
43,312,1.8911659479141236,0.2926,val
44,318,1.9748099404445993,0.2674122947585756,train
45,327,1.889042813655846,0.32252706684340865,train
46,335,1.8300488894808178,0.32313551847829786,train
47,344,1.9995264622368116,0.2753459411693117,train
48,351,1.848544955253601,0.3038,val
49,352,1.9649223206358934,0.25233666366745533,train
50,361,1.9181731502616208,0.2209650624514024,train
51,369,1.966008047230309,0.28377214182598165,train
52,378,1.8123497273324631,0.33125177896758246,train
53,387,1.8965516549174173,0.2681476373203027,train
54,390,1.82849063873291,0.3056,val
55,395,1.843394769829062,0.2914001168488221,train
56,404,1.8076710165723635,0.3311297349667411,train
57,412,1.959212029055127,0.2531315586034802,train
58,421,1.8408173195759565,0.2995159005009344,train
59,429,1.856322234643246,0.27614563075901516,train
60,429,1.7937346935272216,0.3054,val
0,438,1.942021175081656,0.2917067119954743,train
1,447,1.680614579774242,0.33821933819386685,train
2,455,1.881167821566425,0.276569032176989,train
3,464,1.7460549838284656,0.4011432167424764,train
4,468,1.7341765880584716,0.3358,val
5,472,1.7843238254058342,0.339006588950794,train
6,481,1.7878626833253821,0.2995802473850027,train
7,490,1.840720340695414,0.3075830128310214,train
8,498,1.6929058402007253,0.3307696894151621,train
9,507,1.714066341972306,0.3548180216551689,train
10,507,1.791526436805725,0.3486,val
11,515,1.6541160991323802,0.3542091375096283,train
12,524,1.806460685841187,0.4474761164857159,train
13,532,1.7374657846537809,0.3385235568369651,train
14,541,1.640199447749629,0.40133397785697394,train
15,546,1.7110084533691405,0.3546,val
16,550,1.5843740296498823,0.43270463599340714,train
17,558,1.7316652937593893,0.3776471070701451,train
18,567,1.6898980173688325,0.32295629514315277,train
19,575,1.701961774245594,0.3940030872027822,train
20,584,1.9147702958367665,0.3076421407275454,train
21,585,1.7276665925979615,0.3434,val
22,593,1.7039112066874451,0.3701974652470799,train
23,601,1.6777955632177926,0.3854600502946707,train
24,610,1.736763331619513,0.38619202507615286,train
25,618,1.8446270185747555,0.32375592870594516,train
26,624,1.6482739925384522,0.3712,val
27,627,1.5943015272146404,0.37001719856524207,train
28,635,1.6236915499432958,0.3852154513716489,train
29,644,1.5956381002928444,0.40932291511566,train
30,653,1.8211978049997184,0.3463384485033483,train
31,661,1.6736876704309767,0.3232051482867522,train
32,663,1.7175293922424317,0.3698,val
33,670,1.6177248720705344,0.4092633106743964,train
34,678,1.781923226207486,0.38564460146572155,train
35,687,1.5468581363332297,0.3625108724646544,train
36,695,1.567012774053652,0.46444337216428155,train
37,702,1.6225621223449707,0.4038,val
38,704,1.77377539831485,0.3850948488794569,train
39,713,1.7673582009485267,0.3861324394357273,train
40,721,1.6851876401308088,0.3939468279535018,train
41,730,1.7300041516600386,0.3550641138675547,train
42,738,1.6482322548108106,0.44057862598477815,train
43,741,1.5722659826278687,0.4152,val
44,747,1.7597848557818014,0.39339606607800337,train
45,756,1.7177455579143486,0.3547593742663214,train
46,764,1.5349444743513845,0.4326393546478815,train
47,773,1.5446362848072652,0.4642517581045106,train
48,780,1.534753966331482,0.433,val
49,781,1.4789507595858633,0.4486352966456255,train
50,790,1.5552884727778902,0.40181709230600127,train
51,798,1.5579466601638534,0.37056894395082446,train
52,807,1.7051297771514016,0.33125752747454734,train
53,816,1.624915474527446,0.3781377462847651,train
54,819,1.5693004846572876,0.4182,val
55,824,1.776129311985062,0.32357661954058936,train
56,833,1.4931572967232407,0.4483940059261355,train
57,841,1.528088182433113,0.4569322855235169,train
58,850,1.4711271122850833,0.4715788119181965,train
59,858,1.6338364668569174,0.4482071119230867,train
60,858,1.5881027698516845,0.411,val
0,867,1.6087025149938832,0.35500828364261733,train
1,876,1.6575021685097007,0.4254419745237789,train
2,884,1.5950462775805612,0.401826550848562,train
3,893,1.71559349264838,0.41793508988972305,train
4,897,1.52255859375,0.4408,val
5,901,1.619964052557233,0.40169597592977885,train
6,910,1.622871726407727,0.4102994777636981,train
7,919,1.4932228322223788,0.4876348615654207,train
8,927,1.6213111349495193,0.44851128159062703,train
9,936,1.7186887435330769,0.37917444640753295,train
10,936,1.5064662218093872,0.4394,val
11,944,1.5684376376832938,0.3940073902882561,train
12,953,1.3122368748639959,0.5351211818202506,train
13,961,1.5506183596154266,0.4255039264220182,train
14,970,1.4192775774634725,0.41775582153071067,train
15,975,1.5789934158325196,0.4278,val
16,979,1.5452565872924113,0.46444342056963256,train
17,987,1.5668462953577,0.4251334535484642,train
18,996,1.5562052569615896,0.46492928087206403,train
19,1004,1.3071063899239506,0.5279824788286555,train
